new_cases,total_cases,total_deaths,new_deaths
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,0,0
6,8,0,0
5,13,0,0
10,23,0,0
27,50,0,0
59,109,0,0
60,169,0,0
31,200,0,0
39,239,0,0
28,267,0,0
47,314,3,3
85,399,3,0
160,559,3,0
130,689,4,1
197,886,4,0
199,1085,5,1
158,1243,5,0
243,1486,14,9
309,1795,21,7
462,2257,37,16
558,2815,67,30
586,3401,75,8
342,3743,88,13
526,4269,122,34
668,4937,178,56
1298,6235,220,42
1049,7284,289,69
1850,9134,353,64
1702,10836,431,78
1063,11899,513,82
876,12775,705,192
1189,13964,828,123
1384,15348,1011,183
1422,16770,1143,132
1661,18431,1283,140
1260,19691,1447,164
1123,20814,1632,185
1380,22194,2035,403
1209,23403,2240,205
1580,24983,2523,283
1684,26667,3019,496
1351,28018,3346,327
1629,29647,3600,254
1,1,0,0
0,1,0,0
1,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
1,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
1,4,0,0
0,4,0,0
1,5,1,1
2,7,1,0
0,7,1,0
1,8,1,0
1,9,1,0
1,10,2,1
3,13,2,0
1,14,2,0
1,1,0,0
0,1,0,0
0,1,0,0
1,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
3,5,0,0
0,5,0,0
0,5,0,0
1,6,0,0
0,6,0,0
0,6,0,0
0,6,0,0
0,6,0,0
2,8,0,0
5,13,0,0
0,13,0,0
3,16,0,0
0,16,0,0
6,22,0,0
4,26,1,1
0,26,1,0
0,26,1,0
4,30,1,0
5,35,1,0
0,35,1,0
0,35,1,0
2,2,0,0
0,2,0,0
0,2,0,0
4,6,0,0
0,6,0,0
0,6,0,0
0,6,0,0
9,15,0,0
2,17,0,0
5,22,0,0
0,22,0,0
5,27,0,0
5,32,0,0
0,32,0,0
3,35,0,0
0,35,0,0
2,37,0,0
0,37,0,0
2,39,2,2
0,39,2,0
0,39,3,1
9,48,4,1
0,48,4,0
2,50,4,0
7,57,4,0
1,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
1,3,0,0
0,3,0,0
0,3,0,0
1,4,0,0
0,4,0,0
0,4,0,0
0,4,0,0
1,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
0,5,0,0
2,2,0,0
1,3,0,0
7,10,0,0
0,10,0,0
1,11,0,0
1,12,0,0
0,12,0,0
3,15,0,0
4,19,0,0
1,20,0,0
7,27,0,0
1,28,0,0
4,32,0,0
7,39,0,0
22,61,0,0
13,74,0,0
7,81,0,0
15,96,3,3
11,107,6,3
8,115,7,1
8,123,8,1
9,132,9,1
7,139,10,1
18,157,10,0
26,183,11,1
11,194,14,3
16,210,15,1
54,264,18,3
4,268,19,1
8,276,20,1
24,300,24,4
30,330,27,3
2,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
1,3,0,0
2,2,0,0
1,3,0,0
0,3,0,0
15,18,0,0
3,21,0,0
0,21,0,0
15,36,0,0
8,44,0,0
0,44,0,0
48,92,1,1
33,125,1,0
4,129,1,0
33,162,2,1
19,181,3,1
0,181,3,0
48,229,3,0
28,257,5,2
66,323,6,1
30,353,8,2
60,413,12,4
51,464,13,1
68,532,17,4
54,586,18,1
46,632,21,3
31,663,24,3
32,695,28,4
86,781,32,4
35,816,35,3
59,875,36,1
26,901,37,1
47,948,37,0
59,1007,38,1
3,3,0,0
1,4,1,1
0,4,1,0
0,4,1,0
0,4,1,0
2,6,1,0
0,6,1,0
0,6,1,0
1,7,1,0
6,13,1,0
0,13,1,0
0,13,1,0
0,13,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,0,0
0,2,0,0
1,3,0,0
5,8,0,0
5,13,0,0
0,13,0,0
12,25,0,0
9,34,0,0
18,52,0,0
25,77,0,0
21,98,0,0
23,121,0,0
79,200,0,0
34,234,0,0
57,291,1,1
137,428,4,3
193,621,6,2
283,904,11,5
224,1128,18,7
418,1546,25,7
345,1891,34,9
310,2201,46,12
232,2433,57,11
482,2915,77,20
502,3417,92,15
487,3904,114,22
352,4256,136,22
323,4579,159,23
1138,5717,201,42
1119,6836,241,40
1074,7910,299,58
1146,9056,359,60
1222,10278,432,73
852,11130,486,54
926,12056,553,67
1661,13717,667,114
2210,15927,800,133
1930,17857,941,141
1781,19638,1056,115
1089,20727,1124,68
1442,22169,1223,99
2,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
1,3,0,0
0,3,0,0
0,3,0,0
0,3,0,0
